ac, Defense Bonus
ac%/lvl, Increased Defense % (per level)
hp/lvl, Increased Life (per level)
mana/lvl, Increased Mana (per level)
dmg/lvl, Increased Damage (per level)
dmg%/lvl, Increased Damage % (per level)
str/lvl, Increased Strength (per level)
dex/lvl, Increased Dexterity (per level)
enr/lvl, Increased Energy (per level)
vit/lvl, Increased Vitality (per level)
att/lvl, Increased Attack Rating (per level)
att%/lvl, Increased Attack Rating % (per level)
dmg-cold/lvl, Cold Damage (per level)
dmg-fire/lvl, Fire Damage (per level)
dmg-ltng/lvl, Lightning Damage (per level)
dmg-pois/lvl, Poison Damage (per level)
res-cold/lvl, Resist Cold (per level)
res-fire/lvl, Resist Fire (per level)
res-ltng/lvl, Resist Lightning (per level)
res-pois/lvl, Resist Poison (per level)
abs-cold/lvl, Absorb Cold Damage (per level)
abs-fire/lvl, Absorb Fire Damage (per level)
abs-ltng/lvl, Absorb Lightning Damage (per level)
abs-pois/lvl, Absorb Poison Damage (per level)
thorns/lvl, Damages Attacker When Struck (per level)
gold%/lvl, Amoung of Gold Dropped by Monsters Increased (per level)
mag%/lvl, Chance of Finding Magic Items % (per level)
regen-stam/lvl, Regenerate Stamina (per level)
dmg-dem/lvl, Damage vs. Demons (per level)
dmg-und/lvl, Damage vs. Undead (per level)
att-dem/lvl, Attack Rating vs. Demons (per level)
att-und/lvl, Attack Rating vs. Undead (per level)
crush/lvl, Crushing Blow % (per level)
wounds/lvl, Chance of Open Wounds % (per level)
kick/lvl, Kick Damage (per level)
deadly/lvl, Deadly Strike % (per level)
gems%/lvl, Gems % (per level) ???
rep-dur, Repairs Durability
pierce-fire, Pierces Enemy Fire Resistances
pierce-ltng, Pierces Enemy Lightning Resistances
pierce-cold, Pierces Enemy Cold Resistances
pierce-pois, Pierces Enemy Poison Resistances
dmg-mon, Damage vs. Monsters
dmg%-mon, Damage vs. Mosnters
att-mon, Attack Rating vs. Monsters
ac-mon, Defense vs. Monsters
ac%-mon, Defense vs. Monsters
charged, Charged Skill
cheap, Reduced Vendor Prices
heal-kill, Life Gained After Slaying Enemy
addxp, Increased Experience Gained
all-stats, All Stats
dmg-elem, Adds Elemental Damage
dmg-elem-min, Adds Minimum Elemental Damage
dmg-elem-max, Adds Maximum Elemental Damage
att-mon%, Attack Rating vs. Monsters (%)
dmg-mon%, Damage vs. Monsters
kill-skill, Chance to cast (param) after killing an enemy
death-skill, Chance to cast (param) after Dying
levelup-skill, Chance to cast (param) after Leveling Up
skill-rand, Random Skill
fade, Fade
levelreq, Required Level
oskill, Non-class Skill
state, State
randclassskill, Random Class Skill
herb, Double Herb Duration
knock, Knockback
move1, Fast Run/Walk 
move2, Faster Run/Walk 
move3, Fastest Run/Walk 
balance1, Fast Hit Recovery 
balance2, Faster Hit Recovery 
balance3, Fastest Hit Recovery 
block1, Fast Block Rate 
block2, Faster Block Rate 
block3, Fastest Block Rate 
cast1, Fast Cast Rate 
cast2, Faster Cast Rate 
cast3, Fastest Cast Rate 
howl, Hit Causes Monster to Flee 
stupidity, Hit Blinds Target 
ignore-ac, Ignores Target Defense 
reduce-ac, Reduces Target Defense 
noheal, Hit Prevents Monster Heal 
half-freeze, Half Freeze Duration 
throw, Throwable
freeze, Hit Freezes Target 
openwounds, Open Wounds 
bloody, Extra Bloody
slow, Hit Slows Target
nofreeze, Cannot be Frozen
reanimate, Reanimate
pierce, Pierces Target
magicarrow, Fires Magic Arrows
explosivearrow, Fires Explosive Arrows
regen-dur, Regenerates Durability
fire-fx, FireFX
ltng-fx, LightningFX
sock, Number of Sockets
rep-quant, Repairs Quantity
stack, Increased Stack Size
indestruct, Indestructable
rip, Slain Enemies Rest in Peace
ethereal, Ethereal
